id;titulo;descripcion;fechaini;fechafin;horaini;horafin;contenido;estado;gestion
1;Dynamic;knowledge base Buckinghamshire;2019-05-09T18:32:23;2019-05-10T12:58:38;2019-05-10T10:20:18;2019-05-10T01:48:55;Saint Lucia white;94285;7697
2;neutral Salad;Auto Loan Account modular Refined;2019-05-10T05:21:52;2019-05-09T21:02:00;2019-05-10T11:04:43;2019-05-10T11:50:37;Human Ghana;80744;12208
3;granular Direct contextually-based;synergies copying;2019-05-09T19:39:50;2019-05-10T09:00:23;2019-05-10T16:09:16;2019-05-10T12:22:10;Iraq Bedfordshire;69243;11986
4;24/7;Gloves sky blue Oklahoma;2019-05-10T06:37:45;2019-05-10T07:35:39;2019-05-10T14:45:50;2019-05-09T16:59:55;Functionality;25178;69630
5;card Plastic;Computers Personal Loan Account Berkshire;2019-05-10T15:05:09;2019-05-10T15:31:41;2019-05-10T09:38:01;2019-05-10T08:02:22;deposit Canadian Dollar Lebanon;44778;98565
6;Persistent Bulgarian Lev;24/7 Re-contextualized cross-platform;2019-05-10T05:02:03;2019-05-10T01:08:46;2019-05-09T16:43:09;2019-05-10T01:07:00;Solomon Islands Licensed;83530;15071
7;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;2019-05-10T04:01:52;2019-05-09T20:53:36;2019-05-10T10:53:07;2019-05-10T07:57:12;Rustic Quality;39757;38673
8;Creative Metal;bandwidth azure;2019-05-10T03:19:36;2019-05-09T19:15:55;2019-05-09T23:37:21;2019-05-10T10:07:50;deposit;81722;98216
9;Borders content-based;Tasty Customer Human;2019-05-10T01:07:37;2019-05-10T11:47:32;2019-05-10T08:11:04;2019-05-10T09:37:42;Saint Helena Pound programming;85632;88708
10;optical invoice;Marketing;2019-05-09T21:28:24;2019-05-09T18:45:22;2019-05-10T00:15:56;2019-05-10T01:46:01;Tools Unbranded;66350;97366
